simulation_id,terminal_value,terminal_return
1,139095.14126546,0.3909514126546001
2,154944.8698133009,0.5494486981330091
3,105013.49994505406,0.050134999450540674
4,94355.58030895329,-0.05644419691046709
5,99784.33029830131,-0.0021566970169868416
6,98530.02553608661,-0.014699744639133816
7,88618.31355126062,-0.11381686448739381
8,122798.86200384433,0.22798862003844333
9,142617.51377556295,0.42617513775562954
10,169945.6717411528,0.699456717411528
11,111137.61541705285,0.11137615417052849
12,160957.32323588085,0.6095732323588086
13,139037.41515453497,0.3903741515453498
14,150211.1030638103,0.5021110306381029
15,120649.99280915283,0.20649992809152828
16,152651.7885239244,0.5265178852392438
17,100902.65897324929,0.009026589732492818
18,95822.276706486,-0.04177723293514002
19,83969.9533561398,-0.16030046643860196
20,99210.59732483549,-0.007894026751645189
21,144089.19791807563,0.4408919791807564
22,96187.44884062902,-0.038125511593709804
23,121182.63486476138,0.21182634864761374
24,66909.26111381274,-0.33090738886187265
25,94018.15211238668,-0.05981847887613312
26,124856.1035427234,0.24856103542723407
27,119340.66991198777,0.19340669911987773
28,176217.23795691645,0.7621723795691644
29,128033.21590581129,0.28033215905811293
30,135736.92212424902,0.35736922124249015
31,105255.99379004502,0.052559937900450215
32,93530.75379607563,-0.06469246203924373
33,96371.48900745352,-0.03628510992546474
34,110162.12399616026,0.10162123996160255
35,113405.8824656998,0.13405882465699803
36,70947.98017582016,-0.2905201982417983
37,140949.3174333184,0.4094931743331842
38,129616.38061004845,0.29616380610048454
39,96039.68726942757,-0.03960312730572435
40,182171.17769222351,0.8217117769222351
41,73945.12726297349,-0.26054872737026513
42,137568.1694151634,0.3756816941516341
43,118580.48461327347,0.18580484613273462
44,81744.5024848049,-0.18255497515195096
45,81229.58755279753,-0.18770412447202467
46,163041.05572139507,0.6304105572139507
47,201797.2307733652,1.0179723077336522
48,129694.10517540932,0.29694105175409313
49,116646.26267332066,0.16646262673320655
50,87162.63522611598,-0.1283736477388402
51,94091.53582086954,-0.05908464179130457
52,89966.81811473276,-0.1003318188526724
53,86824.78152140905,-0.13175218478590944
54,151443.42671750142,0.5144342671750142
55,113914.95011143533,0.1391495011143533
56,117609.83857510074,0.17609838575100745
57,103455.19719147572,0.03455197191475712
58,130722.16105961271,0.3072216105961272
59,95694.61016276495,-0.04305389837235052
60,127298.83457876643,0.2729883457876643
61,117118.6658528,0.17118665852799997
62,104425.88445082455,0.044258844508245465
63,83873.72503839509,-0.16126274961604914
64,128391.66492392821,0.28391664923928217
65,168752.93515882938,0.6875293515882939
66,103917.60724719684,0.039176072471968304
67,116111.12778172555,0.16111127781725543
68,99717.39907436322,-0.0028260092563677786
69,104061.74788252049,0.040617478825204945
70,203819.8545483135,1.038198545483135
71,139049.67342073267,0.39049673420732667
72,116034.3167300313,0.16034316730031306
73,282777.73650540865,1.8277773650540867
74,113304.31004455841,0.1330431004455841
75,66226.6483058506,-0.337733516941494
76,139220.15979692643,0.39220159796926435
77,88574.96461065386,-0.11425035389346139
78,113785.36232801448,0.13785362328014483
79,136117.99469061926,0.3611799469061927
80,99547.72739734176,-0.004522726026582435
81,105956.38191201248,0.05956381912012487
82,135829.41373979778,0.3582941373979778
83,82149.57609165297,-0.17850423908347035
84,95014.6753074446,-0.04985324692555393
85,76600.62962143718,-0.23399370378562812
86,102622.9995810778,0.026229995810778117
87,91419.73310903381,-0.08580266890966193
88,90526.79703911424,-0.09473202960885752
89,111740.36528290283,0.11740365282902832
90,125858.55331372029,0.2585855331372029
91,127390.48888375942,0.2739048888375941
