,AAPL,AMZN,GOOGL,MSFT
AAPL,0.000297715193626487,0.00020909568907381061,0.0001905866097900615,0.00017022304353409403
AMZN,0.00020909568907381061,0.0004920868676341879,0.00026487017986679784,0.0002319369033799069
GOOGL,0.0001905866097900615,0.00026487017986679784,0.000372763057171717,0.00019334667596405247
MSFT,0.00017022304353409403,0.0002319369033799069,0.00019334667596405247,0.00027138323598907766
