Date,AAPL,AMZN,GOOGL,MSFT
2021-04-30,0.21782466618973254,0.18785687017469319,0.20948668294616088,0.2139096713188615
2021-05-03,0.21718742502255603,0.20174142266958087,0.2112096406998568,0.21384962481350955
2021-05-04,0.23273543365038954,0.21308230285090718,0.2192444817546322,0.21112189190855274
2021-05-05,0.23147046788693187,0.21628456103850563,0.21923661344705442,0.21148811056124991
2021-05-06,0.2242329270594813,0.21133940923777242,0.21827231972838315,0.21193766874406017
2021-05-07,0.22432888097632817,0.20718485827653838,0.21785616438071564,0.2083350137598521
2021-05-10,0.239106434310105,0.22917769210077113,0.23431135144321774,0.21448886890954622
2021-05-11,0.2405291734294018,0.229945472974953,0.23678683989336838,0.21414367820829827
2021-05-12,0.2496172645117304,0.23932847932675153,0.25721345068141477,0.2282130387420651
2021-05-13,0.2491152771490836,0.23689807300205323,0.25859517724998715,0.22818614266272477
2021-05-14,0.25449638988527273,0.23534171360659048,0.2500334155732881,0.22218505892475035
2021-05-17,0.2473796871308538,0.23156203309625725,0.2216280361159539,0.21027541334775127
2021-05-18,0.24947471987681388,0.23421813040465178,0.2241454684292929,0.2112216189411131
2021-05-19,0.24612126664160933,0.22860513911706207,0.22119276286983766,0.20978485898754992
2021-05-20,0.24739109620187041,0.22834314413001552,0.22509525493859525,0.21002818027392756
2021-05-21,0.24255834077669736,0.2212619051304788,0.22447430451900402,0.20774691079640978
2021-05-24,0.24389269350182216,0.22511237951970076,0.23601609981860427,0.21905250256541106
2021-05-25,0.23206398008706253,0.22466546557596012,0.23589171008446116,0.21715062881925074
2021-05-26,0.22697188063195803,0.21785248122284953,0.23546823810070483,0.21487193564075882
2021-05-27,0.2211616690430116,0.21532874410097944,0.2312089617565268,0.2108756113356936
2021-05-28,0.221338353227608,0.2141525572705632,0.23135736045375377,0.21027406166379578
2021-06-01,0.2202051022797136,0.21331171092652548,0.23283626854118344,0.2107025898659359
2021-06-02,0.21945797967502875,0.21207841969861407,0.23278163044151884,0.21071829858039975
2021-06-03,0.2208791290774832,0.21378417542806488,0.23495394148876408,0.20888746372219
2021-06-04,0.22747676487596633,0.2106283582041158,0.23777187630352414,0.2157252740136969
2021-06-07,0.22002307979416236,0.2082303343304653,0.23108418685786214,0.21374014534990995
2021-06-08,0.2210156152784404,0.20847893022005734,0.23108133288460744,0.21392375517813014
2021-06-09,0.22149226345788017,0.20907589090794598,0.22942565059575848,0.21430424137189993
2021-06-10,0.22190377480660967,0.2153272732102577,0.21612640692860813,0.20189997357069508
2021-06-11,0.22444826546577487,0.21485614074811252,0.21264526836144118,0.2003489407265157
2021-06-14,0.23251765305855895,0.2177587177468115,0.20727558166223348,0.20123966927988982
2021-06-15,0.23180602682951482,0.20674766759140045,0.20855290050394149,0.20215640784513378
2021-06-16,0.20639703506145218,0.19731506502727064,0.20343806717114873,0.19606106674289275
2021-06-17,0.20923013439859503,0.20153120531393176,0.20423947089499783,0.19811634415612464
2021-06-18,0.20859579142060455,0.19995521438436664,0.20737087476985147,0.19639071125422047
2021-06-21,0.21192708515973238,0.20183720437099384,0.21034210440864717,0.19701528044086936
2021-06-22,0.19890915865186817,0.1796787525681523,0.1941207792279969,0.1867976082905944
2021-06-23,0.1973436100209164,0.17861120457857638,0.19132745344294136,0.1861264809063628
2021-06-24,0.18023919403264915,0.17112671959118336,0.1625237508499725,0.15890830003778325
2021-06-25,0.17503299781749057,0.17800266388813424,0.16031966549797197,0.1565355717236545
2021-06-28,0.16994024206225541,0.1734325724409265,0.15029636408851066,0.15080623347103092
2021-06-29,0.16872370923427354,0.16939719303187784,0.15072088820389615,0.14545119379041785
2021-06-30,0.16358659516951143,0.16502785922125657,0.14541195443215915,0.14185410361351147
2021-07-01,0.16308601748559265,0.165351528631993,0.14535264987793414,0.14184627774685626
2021-07-02,0.16183017463668078,0.1755436476758265,0.1523044322965,0.14882174088156871
2021-07-06,0.1557263014209016,0.20904930638325125,0.15078368494665656,0.14670617758784898
2021-07-07,0.15858014715419444,0.2075597611715082,0.12984278281955813,0.13650745869690245
2021-07-08,0.1625526943296801,0.20807195201401654,0.13571906976393083,0.1413595368260439
2021-07-09,0.16399501763090477,0.20916023476246584,0.13486279941680115,0.14087780101853778
2021-07-12,0.15823702356801309,0.20470843939771285,0.13481853670714272,0.13727390489434127
2021-07-13,0.1555054247601552,0.20892526282375423,0.13402631278970276,0.13986593065818353
2021-07-14,0.16265025300131392,0.20844419315660945,0.13272780286014466,0.13426267735833067
2021-07-15,0.16551285027501786,0.21506800899715015,0.13590271013530114,0.13649420756337646
2021-07-16,0.16743279218855342,0.21610812121795253,0.13129442272190583,0.1336609278926057
2021-07-19,0.187976831406606,0.2181374852153879,0.13576179054701237,0.13443544162956528
2021-07-20,0.19755898240053293,0.2175827865198444,0.13979963667736006,0.13279453025280452
2021-07-21,0.19963487283746706,0.21170127368217037,0.1417685088996421,0.13106099591564413
2021-07-22,0.20009923146914463,0.2142509515252725,0.14234352464502056,0.1364561231255667
2021-07-23,0.19730654923699142,0.20803964174717587,0.16982100711374584,0.1352510064563009
2021-07-26,0.1970053327878195,0.20925321003221634,0.16967117622202,0.13635258843878412
2021-07-27,0.1969053965974392,0.21851947082507922,0.17805334380415078,0.14050948625119727
2021-07-28,0.20025985133159221,0.2184212537805967,0.19347798462389312,0.13846805915609783
2021-07-29,0.20027309897594817,0.2195076612674127,0.19243414014971108,0.136989603746355
2021-07-30,0.1986172181191307,0.31323164214437216,0.19492752304503783,0.13606884721447235
2021-08-02,0.1952577465583104,0.3133234346883661,0.18844661964238066,0.1340069926382776
2021-08-03,0.19463696397980687,0.31422193385180436,0.18605691723767073,0.1320490421857533
2021-08-04,0.1935477640910992,0.31075355954693445,0.18724075201074677,0.13063891324110677
2021-08-05,0.19306268903931825,0.31156443677838735,0.18716432822956053,0.13217563052908424
2021-08-06,0.19383632565977105,0.30949563359895005,0.18839403344823488,0.1322695327658193
2021-08-09,0.1934579820739249,0.30707826515873515,0.18870095041122878,0.13103880536631018
2021-08-10,0.1922694564819678,0.30499053771363394,0.18888323649488314,0.1294363537270678
2021-08-11,0.1904525357577046,0.3056438801681381,0.1894071198159141,0.127309266263694
2021-08-12,0.19760814056778517,0.3059744283359529,0.1889728311938746,0.1288915833452885
2021-08-13,0.1976450035261946,0.30599991085239875,0.1889498019075924,0.1310591039639396
2021-08-16,0.19402146415615984,0.2977251615206913,0.18037358675446347,0.11787269840221788
2021-08-17,0.19218988477306376,0.2637489045141918,0.1852305449519745,0.11957192273080153
2021-08-18,0.20219674163896867,0.26314856794761016,0.18824418221416742,0.12015325039813247
2021-08-19,0.20014216177399183,0.2597128850534899,0.18376261093543636,0.12834099143230446
2021-08-20,0.19880194486009037,0.26099032122403854,0.18606469493306732,0.14451765955736512
2021-08-23,0.20006210597905608,0.270926149228356,0.19011813485013956,0.14379097161308815
2021-08-24,0.19912712439112384,0.27422398302850737,0.1907566831877922,0.14337610156367822
2021-08-25,0.18861390773005707,0.2739029500008393,0.19059026136006385,0.14369472951623039
2021-08-26,0.18884756069501105,0.27329172779208644,0.188089477442301,0.1462887648285264
2021-08-27,0.1851776199971053,0.272998916412866,0.19221547720501067,0.1459867207605255
2021-08-30,0.1847380678160787,0.28085439281007124,0.17919074724760006,0.14126974928769367
2021-08-31,0.17365528943864122,0.2835775112669115,0.17792812621455148,0.1426001108518046
2021-09-01,0.17277799851676012,0.2834605121114841,0.17703051161990482,0.14209066400871825
