Date,AAPL,AMZN,GOOGL,MSFT
2021-03-18,117.39566802978516,151.39950561523438,100.23853302001953,221.38958740234375
2021-03-19,116.86972045898438,153.7480010986328,100.51722717285156,221.03456115722656
2021-03-22,120.18131256103516,155.5435028076172,100.70219421386719,226.44647216796875
2021-03-23,119.3534164428711,156.875,101.22984313964844,227.97215270996094
2021-03-24,116.96711730957031,154.35350036621094,100.79344177246094,225.9379119873047
2021-03-25,117.4541244506836,152.31300354003906,100.78996276855469,222.94406127929688
2021-03-26,118.05801391601562,152.60150146484375,100.40664672851562,226.91665649414062
2021-03-29,118.23332214355469,153.7864990234375,101.45100402832031,225.72682189941406
2021-03-30,116.78206634521484,152.76449584960938,101.48472595214844,222.47390747070312
2021-03-31,118.97354888916016,154.70399475097656,102.28064727783203,226.23538208007812
2021-04-01,119.80146789550781,158.0500030517578,105.6160888671875,232.54928588867188
2021-04-05,122.62604522705078,161.3365020751953,110.03851318359375,238.99749755859375
2021-04-06,122.92798614501953,161.1909942626953,109.55751037597656,237.83641052246094
2021-04-07,124.57402801513672,163.96949768066406,111.03380584716797,239.7939453125
2021-04-08,126.97003936767578,164.96499633789062,111.59912872314453,243.00843811035156
2021-04-09,129.54141235351562,168.61000061035156,112.60283660888672,245.5033416748047
2021-04-12,127.82718658447266,168.96949768066406,111.31102752685547,245.56088256835938
2021-04-13,130.9342041015625,170.0,111.79747772216797,248.0365447998047
2021-04-14,128.59661865234375,166.64999389648438,111.1766357421875,245.2538299560547
2021-04-15,131.0023956298828,168.95449829101562,113.32585906982422,249.0056915283203
2021-04-16,130.67123413085938,169.9720001220703,113.2018814086914,250.1956329345703
2021-04-19,131.3335723876953,168.60049438476562,113.54950714111328,248.2764892578125
2021-04-20,129.64854431152344,166.7344970703125,113.01643371582031,247.81588745117188
2021-04-21,130.02842712402344,168.1009979248047,112.98369598388672,250.0420684814453
2021-04-22,128.5089874267578,165.45199584960938,111.70278930664062,246.7699432373047
2021-04-23,130.8271026611328,167.04400634765625,114.0538330078125,250.5889892578125
2021-04-26,131.21670532226562,170.4499969482422,114.54975128173828,250.97279357910156
2021-04-27,130.895263671875,170.8715057373047,113.61001586914062,251.3758087158203
2021-04-28,130.10635375976562,172.9250030517578,116.98512268066406,244.26548767089844
2021-04-29,130.00894165039062,173.5655059814453,118.65729522705078,242.2984161376953
2021-04-30,128.04144287109375,173.37100219726562,116.71039581298828,241.9817352294922
2021-05-03,129.09339904785156,169.32449340820312,116.19366455078125,241.67471313476562
2021-05-04,124.52533721923828,165.593505859375,114.3960189819336,237.76925659179688
2021-05-05,124.76883697509766,163.52699279785156,114.78976440429688,236.50265502929688
2021-05-06,126.36618041992188,165.31849670410156,115.90950775146484,239.63084411621094
2021-05-07,127.03936767578125,164.58050537109375,116.63253021240234,242.2504425048828
2021-05-10,123.76119995117188,159.52450561523438,113.64820098876953,237.1839141845703
2021-05-11,122.84407806396484,161.19549560546875,112.57259368896484,236.27235412597656
2021-05-12,119.78054809570312,157.5970001220703,109.1106948852539,229.33477783203125
2021-05-13,121.92699432373047,158.07350158691406,110.53841400146484,233.2017822265625
2021-05-14,124.3465805053711,161.14500427246094,112.98517608642578,238.1146697998047
2021-05-17,123.19532012939453,163.51950073242188,113.50786590576172,235.2648162841797
2021-05-18,121.80989074707031,161.61399841308594,112.19619750976562,233.249755859375
2021-05-19,121.65380096435547,161.58999633789062,112.64398956298828,233.8268280029297
2021-05-20,124.20999145507812,162.38400268554688,114.4019775390625,237.05838012695312
2021-05-21,122.37577056884766,160.1540069580078,113.76622772216797,235.79847717285156
2021-05-24,124.00511169433594,162.24949645996094,117.08431243896484,241.19398498535156
2021-05-25,123.80998229980469,162.95249938964844,117.17504119873047,242.09805297851562
2021-05-26,123.76119995117188,163.25799560546875,118.0399169921875,241.87689208984375
2021-05-27,122.22943115234375,161.5054931640625,117.16563415527344,239.78021240234375
2021-05-28,121.57575988769531,161.15350341796875,116.87651824951172,240.13607788085938
2021-06-01,121.25377655029297,160.9324951171875,118.08303833007812,237.94322204589844
